country_label,institution_name,official_website,tool_name,tool_category,use_case,evidence_strength,source_type,source_title,source_date,source_link,exact_snippet_or_quote,why_it_supports_the_claim,notes
Brazil,Operador Nacional do Sistema Elétrico (ONS),https://www.ons.org.br/,NEWAVE,production_cost_uc,Medium-term operation planning/programming for the SIN used by ONS in PMO processes (and referenced for PLD formation with CCEE).,HIGH,news_release,Informe sobre a utilização da nova versão do Modelo Newave,21/7/2022,https://www.ons.org.br/Paginas/Noticias/20220721-Informe-sobre-a-utiliza%C3%A7%C3%A3o-da-nova-vers%C3%A3o-do-Modelo-Newave.aspx,"""passarão a utilizar a versão 28.0.3 do modelo Newave para fins de planejamento e programação da operação""",The ONS states it uses the Newave model for planning and programming system operation.,additional sources exist
Brazil,Operador Nacional do Sistema Elétrico (ONS),https://www.ons.org.br/,DECOMP,production_cost_uc,"Short-term operation programming by ONS, also used in price formation (PLD) process with CCEE.",HIGH,news_release,ONS: Informe sobre validação do DECOMP,5/4/2023,https://www.ons.org.br/Paginas/Noticias/20230405-ONS-Informe-sobre-valida%C3%A7%C3%A3o-do-DECOMP.aspx,"""passou a adotar a versão 31.0.2 do modelo DECOMP... programação da operação, pelo ONS, e formação de preço, pela CCEE""",The ONS explicitly states it adopts/uses the DECOMP model in its operation-programming process (and for price formation with CCEE).,additional sources exist
Brazil,Operador Nacional do Sistema Elétrico (ONS),https://www.ons.org.br/,DESSEM,production_cost_uc,"Very short-term (daily) operation scheduling by ONS, also used for PLD formation with CCEE.",HIGH,news_release,ONS: Informe sobre validação do DESSEM,14/4/2023,https://www.ons.org.br/Paginas/Noticias/20230414-Informe-sobre-valida%C3%A7%C3%A3o-do-DESSEM.aspx,"""modelo DESSEM... nos processos da Programação Diária da Operação, pelo ONS""",The ONS explicitly states it adopts/uses DESSEM in its Daily Operation Scheduling process.,additional sources exist
Brazil,Operador Nacional do Sistema Elétrico (ONS),https://www.ons.org.br/,SMAP/ONS,forecasting,Rainfall-runoff (chuva-vazão) forecasting tool/application made available by ONS to associated agents with documentation.,HIGH,news_release,Modelo de Previsão Chuva-Vazão- SMAP/ONS,2/8/2018,https://www.ons.org.br/Paginas/Noticias/20180802-SMAP.aspx,"""Está disponível... o aplicativo SMAP/ONS, bem como sua documentação.""",The ONS explicitly publishes that the SMAP/ONS application and its documentation are made available for use by associated agents.,additional sources exist
Brazil,Operador Nacional do Sistema Elétrico (ONS),https://www.ons.org.br/,Previvaz,forecasting,Hydrological forecasting / scenario-generation “satellite model” referenced by ONS as part of the PLD modelling course set used operationally by ONS/CCEE.,HIGH,news_release,ONS e CCEE disponibilizam novos cursos sobre modelos computacionais de cálculo do PLD,2/9/2022,https://www.ons.org.br/Paginas/Noticias/20220902-ONS-e-CCEE-disponibilizam-novos-cursos-sobre-modelos-computacionais-de-c%C3%A1lculo-do-PLD.aspx,"""modelos satélites...: SMAP/ONS, Previvaz e Gevazp.""",The ONS lists Previvaz among the satellite models used (and trained) for operational planning/programming and PLD-related modelling.,evidence is course/news context (not a methodology PDF); additional sources may exist behind CT/PMO-PLD or related documentation
Brazil,Operador Nacional do Sistema Elétrico (ONS),https://www.ons.org.br/,Gevazp,forecasting,Hydrological forecasting / scenario-generation “satellite model” referenced by ONS as part of the PLD modelling course set used operationally by ONS/CCEE.,HIGH,news_release,ONS e CCEE disponibilizam novos cursos sobre modelos computacionais de cálculo do PLD,2/9/2022,https://www.ons.org.br/Paginas/Noticias/20220902-ONS-e-CCEE-disponibilizam-novos-cursos-sobre-modelos-computacionais-de-c%C3%A1lculo-do-PLD.aspx,"""modelos satélites...: SMAP/ONS, Previvaz e Gevazp.""",The ONS lists Gevazp among the satellite models used (and trained) for operational planning/programming and PLD-related modelling.,evidence is course/news context (not a methodology PDF); additional sources may exist behind CT/PMO-PLD or related documentation
Australia,Australian Energy Market Operator (AEMO),https://www.aemo.com.au/,PLEXOS,production_cost_uc,Time-sequential market dispatch / reliability modelling for NEM ESOO datasets and outputs published by AEMO.,HIGH,official_report,2025 ESOO Input Data Package and Model Instructions,21/8/2025,https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/nem_esoo/2025/model-instructions-2025-esoo.pdf?rev=246883570b834f3591042f1836915321&sc_lang=en,"""The 2025 ESOO was run with Plexos 10.000.005.20660""","AEMO states the ESOO model was run in PLEXOS, evidencing direct use for its official ESOO modelling.",additional sources exist
Australia,Australian Energy Market Operator (AEMO),https://www.aemo.com.au/,PSS/E,other,Power system connection studies / dynamic model requirements and assessments for NEM participants.,HIGH,official_methodology,Modelling requirements (Network connections),,https://www.aemo.com.au/energy-systems/electricity/national-electricity-market-nem/participate-in-the-market/network-connections/modelling-requirements,"""AEMO is transitioning from PSS®E version 34 to version 36 for all NEM connection studies.""","AEMO explicitly states it uses PSS®E for NEM connection studies, demonstrating operational tool usage.",additional sources exist
Australia,Australian Energy Market Operator (AEMO),https://www.aemo.com.au/,DigSILENT PowerFactory,other,"Power system modelling and analysis for the SWIS (WEM), using PowerFactory-format model data and studies.",HIGH,official_methodology,WEM Procedure: Network Modelling Data (marked-up),,https://www.aemo.com.au/-/media/files/stakeholder_consultation/consultations/wa_wem_consultation_documents/2025/aepc_2025_08_09_10/aepc202509-network-modelling-data-marked-up.pdf?rev=48bf5e4e329d4fd987937162615c43d5&sc_lang=en,"""AEMO uses DigSILENT PowerFactory for this purpose.""",The procedure explicitly states AEMO uses DigSILENT PowerFactory as its power system modelling and analysis tool for SWIS.,additional sources exist
Australia,Australian Energy Regulator (AER),https://www.aer.gov.au/,PLEXOS,market_simulation,Electricity market modelling to estimate Customer Export Curtailment Values (CECVs).,HIGH,official_methodology,Draft customer export curtailment value methodology,1/4/2022,https://www.aer.gov.au/system/files/AER%20-%20Draft%20customer%20export%20curtailment%20value%20methodology%20-%20April%202022.pdf,"""Electricity market modelling is undertaken using PLEXOS to estimate CECVs.""",The AER explicitly states it undertakes electricity market modelling using PLEXOS for CECV estimation.,additional sources may exist in final methodology versions
Australia,"Department of Climate Change, Energy, the Environment and Water (DCCEEW)",https://www.dcceew.gov.au/,PLEXOS,market_simulation,"Electricity-sector emissions projections for Australia’s grids (NEM/WEM/DKIS), including investment and dispatch modelling framework.",HIGH,official_methodology,Methodology for Australia’s emissions projections 2025,,https://www.dcceew.gov.au/sites/default/files/documents/methodology-australias-emissions-projections-2025.pdf,"""DCCEEW used PLEXOS to project emissions from Australia’s NEM, WEM and DKIS electricity grids""",The department’s official methodology states it used PLEXOS for electricity-sector emissions projections.,"additional sources exist (e.g., 2023/2024 methodologies)"
